basin,country,year,Value
AGBS,MKD,2060,500.65337492215417
AGBS,MKD,2070,531.5835991065587
AGBS,MKD,2080,589.2922146083025
AGBS,MKD,2090,667.6137865074619
AGBS,MKD,2100,757.0500630810839
NIGE,MLI,2005,3662.7592223195206
NIGE,MLI,2010,4288.40228518333
NIGE,MLI,2015,4941.343097779885
NIGE,MLI,2020,4620.206887898346
NIGE,MLI,2025,4728.94780774621
NIGE,MLI,2030,4182.382554440747
NIGE,MLI,2035,3693.207030366678
NIGE,MLI,2040,3250.786453373579
NIGE,MLI,2045,2928.293013248998
NIGE,MLI,2050,2659.3499285840594
NIGE,MLI,2060,2153.892815530103
NIGE,MLI,2070,1616.9064158090325
NIGE,MLI,2080,1121.8724457411681
NIGE,MLI,2090,772.9072609285931
NIGE,MLI,2100,589.5198643280823
SENE,MLI,2005,1491.289370542263
SENE,MLI,2010,1605.688543019594
SENE,MLI,2015,1904.756298294249
SENE,MLI,2020,1709.130554407864
SENE,MLI,2025,1531.2929936153844
SENE,MLI,2030,1295.8913920633613
SENE,MLI,2035,1093.638644117052
SENE,MLI,2040,920.4734902425585
SENE,MLI,2045,797.5145950011312
SENE,MLI,2050,703.2896569469691
SENE,MLI,2060,542.9153067328393
SENE,MLI,2070,390.8966342548978
SENE,MLI,2080,260.06950529828015
SENE,MLI,2090,172.2323589966601
SENE,MLI,2100,130.3769018989701
MSII,MLT,2005,2.647178780269849
MSII,MLT,2010,10.974635991422636
MSII,MLT,2015,2.9719033978328984
MSII,MLT,2020,2.8585751977991625
MSII,MLT,2025,2.7788224407672373
MSII,MLT,2030,2.7387265673631234
MSII,MLT,2035,2.716165453407702
MSII,MLT,2040,2.697570745469544
MSII,MLT,2045,2.6778893196584344
MSII,MLT,2050,2.6291644811282397
MSII,MLT,2060,2.494784340925958
MSII,MLT,2070,2.2137489988587524
MSII,MLT,2080,1.8611242322202712
MSII,MLT,2090,1.5231052859555976
MSII,MLT,2100,1.2397352159581394
BBCN,MMR,2005,289.7666689378656
BBCN,MMR,2010,327.33905597637136
BBCN,MMR,2015,327.15499369787955
BBCN,MMR,2020,345.30847437191477
BBCN,MMR,2025,367.2968616240502
BBCN,MMR,2030,389.6325235965224
BBCN,MMR,2035,414.42429744713706
BBCN,MMR,2040,433.77987885851303
BBCN,MMR,2045,449.9742375453307
BBCN,MMR,2050,463.43036569255764
BBCN,MMR,2060,477.82971228922924
BBCN,MMR,2070,473.5674953005127
BBCN,MMR,2080,464.7375048890706
BBCN,MMR,2090,458.69451048761647
BBCN,MMR,2100,454.87874134650633
IRRA,MMR,2005,6915.365690202696
IRRA,MMR,2010,7918.438757261488
IRRA,MMR,2015,8009.753349055766
IRRA,MMR,2020,8404.035269720656
IRRA,MMR,2025,8880.940316368395
IRRA,MMR,2030,9358.640506967195
IRRA,MMR,2035,9902.725471048025
IRRA,MMR,2040,10380.857004195488
IRRA,MMR,2045,10782.866703050428
IRRA,MMR,2050,11137.756268372046
IRRA,MMR,2060,11582.737024443642
IRRA,MMR,2070,11678.579336538693
IRRA,MMR,2080,11829.122284736779
IRRA,MMR,2090,11961.851009777909
IRRA,MMR,2100,12057.091845074188
PMAL,MMR,2005,382.17751072570115
PMAL,MMR,2010,426.74790928560486
PMAL,MMR,2015,411.30136622088423
PMAL,MMR,2020,434.2983856527054
PMAL,MMR,2025,466.3164257746367
PMAL,MMR,2030,500.30002301040133
PMAL,MMR,2035,536.3230461873326
PMAL,MMR,2040,564.7851810912881
PMAL,MMR,2045,589.3961019919716
PMAL,MMR,2050,611.688878380209
PMAL,MMR,2060,638.4835898069244
PMAL,MMR,2070,636.9779920693958
PMAL,MMR,2080,636.4733136236824
PMAL,MMR,2090,642.4645309177009
PMAL,MMR,2100,647.4524281303269
SALW,MMR,2005,1258.0884612433958
SALW,MMR,2010,1434.2176679570423
SALW,MMR,2015,1407.9582270580888
SALW,MMR,2020,1480.467828750257
SALW,MMR,2025,1562.5553701590695
SALW,MMR,2030,1640.2804948974676
SALW,MMR,2035,1728.675368178525
SALW,MMR,2040,1804.2329417274007
SALW,MMR,2045,1864.052329653056
SALW,MMR,2050,1914.2713102863188
SALW,MMR,2060,1966.4843902332998
SALW,MMR,2070,1951.238748556989
SALW,MMR,2080,1950.9928610014356
SALW,MMR,2090,1947.3594735675001
SALW,MMR,2100,1937.5907535930712
SITT,MMR,2005,1460.6436416724548
SITT,MMR,2010,1630.1488371762564
SITT,MMR,2015,1604.2449873744524
SITT,MMR,2020,1678.5796646838264
SITT,MMR,2025,1773.3253155531288
SITT,MMR,2030,1869.0351956687812
SITT,MMR,2035,1967.329587907586
SITT,MMR,2040,2045.57505264324
SITT,MMR,2045,2110.081293182611
SITT,MMR,2050,2167.1547918143037
SITT,MMR,2060,2236.240748823986
SITT,MMR,2070,2245.1223309754273
SITT,MMR,2080,2266.1801955853816
SITT,MMR,2090,2284.463977932427
SITT,MMR,2100,2294.232248294352
AGBS,MNE,2005,1186.8994137729042
AGBS,MNE,2010,1186.8994137729042
AGBS,MNE,2015,93.26411162703963
AGBS,MNE,2020,91.85540733451494
AGBS,MNE,2025,94.45466112898657
AGBS,MNE,2030,99.07379719428545
AGBS,MNE,2035,103.18070668621051
AGBS,MNE,2040,107.90899574574843
AGBS,MNE,2045,113.40156869718172
AGBS,MNE,2050,116.8760766727826
AGBS,MNE,2060,117.524860081804
AGBS,MNE,2070,114.2090519211
AGBS,MNE,2080,111.81565398921626
AGBS,MNE,2090,109.3510243184563
AGBS,MNE,2100,107.93947148252792
DANU,MNE,2005,1299.138137102489
DANU,MNE,2010,1299.138137102489
DANU,MNE,2015,102.85552590340404
DANU,MNE,2020,100.61037840330256
DANU,MNE,2025,103.03515638964281
DANU,MNE,2030,106.10071857967881
DANU,MNE,2035,106.62800574162186
DANU,MNE,2040,105.58572138655725
DANU,MNE,2045,104.48893254569087
DANU,MNE,2050,101.77100448813168
DANU,MNE,2060,93.3980645481359
DANU,MNE,2070,84.12704809797617
DANU,MNE,2080,75.48703110395415
DANU,MNE,2090,67.41312294930187
DANU,MNE,2100,61.905127715290774
AMUR,MNG,2005,112.54851344874326
AMUR,MNG,2010,150.95127222172164
AMUR,MNG,2015,163.46576380217465
AMUR,MNG,2020,157.75870319280068
AMUR,MNG,2025,170.3348839375003
AMUR,MNG,2030,135.660393586673
AMUR,MNG,2035,115.31176711191148
AMUR,MNG,2040,104.66690009342102
AMUR,MNG,2045,98.40076086639147
AMUR,MNG,2050,92.8380504340031
AMUR,MNG,2060,72.91145941418839
AMUR,MNG,2070,49.37768880865594
AMUR,MNG,2080,30.81691813378539
AMUR,MNG,2090,19.623798496646444
AMUR,MNG,2100,14.032633275712747
GOBI,MNG,2005,36.191255945170596
GOBI,MNG,2010,49.20473341392135
GOBI,MNG,2015,59.96859373433401
GOBI,MNG,2020,58.142689909097385
GOBI,MNG,2025,62.69960070262965
GOBI,MNG,2030,52.689519883641246
GOBI,MNG,2035,47.15872596076316
GOBI,MNG,2040,44.647924669145354
GOBI,MNG,2045,43.32103500815059
GOBI,MNG,2050,42.28901773813864
GOBI,MNG,2060,36.08782481518151
GOBI,MNG,2070,27.077852139241337
GOBI,MNG,2080,18.830395675547777
GOBI,MNG,2090,14.482543259582647
GOBI,MNG,2100,14.522585068528148
YENS,MNG,2005,92.46644553385352
YENS,MNG,2010,122.52046340732528
YENS,MNG,2015,132.37422363355435
YENS,MNG,2020,127.1598193619808
YENS,MNG,2025,138.85140404472298
YENS,MNG,2030,124.78462006593227
YENS,MNG,2035,123.06800235886595
YENS,MNG,2040,126.60032075090534
YENS,MNG,2045,131.22699709547393
YENS,MNG,2050,134.78136332448403
YENS,MNG,2060,118.95934918465014
YENS,MNG,2070,83.5148952747553
YENS,MNG,2080,56.354174535384395
YENS,MNG,2090,41.32979700711133
YENS,MNG,2100,33.90972879161126
AECC,MOZ,2005,3139.4601650393015
AECC,MOZ,2010,3563.5198533180533
AECC,MOZ,2015,3570.782022913657
AECC,MOZ,2020,3488.1785507994414
AECC,MOZ,2025,3623.135586516761
AECC,MOZ,2030,3976.0405797238705
AECC,MOZ,2035,4485.052252150724
AECC,MOZ,2040,4912.713517397741
AECC,MOZ,2045,5187.360451853448
AECC,MOZ,2050,5365.649471295234
AECC,MOZ,2060,5570.438287364308
AECC,MOZ,2070,5543.619366341283
AECC,MOZ,2080,4089.840336642995
AECC,MOZ,2090,3198.955865362534
AECC,MOZ,2100,3220.2607340431755
AIOC,MOZ,2005,1154.990844406403
AIOC,MOZ,2010,1322.3135916288031
AIOC,MOZ,2015,1278.0879911115512
AIOC,MOZ,2020,1259.612720249903
AIOC,MOZ,2025,1325.615885375498
AIOC,MOZ,2030,1416.9542088274034
AIOC,MOZ,2035,1558.6034562203438
AIOC,MOZ,2040,1695.722093742866
AIOC,MOZ,2045,1776.9378961645377
AIOC,MOZ,2050,1810.446347907234
AIOC,MOZ,2060,1831.6986868783756
AIOC,MOZ,2070,1818.8195413193544
AIOC,MOZ,2080,1727.4838262703413
AIOC,MOZ,2090,1722.3878577732942
AIOC,MOZ,2100,1915.2476211002065
LIMP,MOZ,2005,523.2970758857656
LIMP,MOZ,2010,571.4563425596036
LIMP,MOZ,2015,630.3775003665736
LIMP,MOZ,2020,625.3076568169903
LIMP,MOZ,2025,665.7421797268598
LIMP,MOZ,2030,719.4555971294197
LIMP,MOZ,2035,805.3929644249258
LIMP,MOZ,2040,897.8857356307016
LIMP,MOZ,2045,976.3216393612081
LIMP,MOZ,2050,1044.4414034454614
LIMP,MOZ,2060,1176.2384305082012
LIMP,MOZ,2070,1287.6896871402016
LIMP,MOZ,2080,1406.5385405074198
LIMP,MOZ,2090,1466.6432778221283
LIMP,MOZ,2100,1408.6160288168887
ZAMB,MOZ,2005,630.778438493414
ZAMB,MOZ,2010,713.0925378276813
ZAMB,MOZ,2015,733.3046596946548
ZAMB,MOZ,2020,717.4630391619625
ZAMB,MOZ,2025,747.6240859237291
ZAMB,MOZ,2030,809.885133533512
ZAMB,MOZ,2035,891.3196873995355
ZAMB,MOZ,2040,944.2565240233488
ZAMB,MOZ,2045,992.0849178042264
ZAMB,MOZ,2050,1076.6693126449152
ZAMB,MOZ,2060,1323.4869465115023
ZAMB,MOZ,2070,1367.7155225837928
ZAMB,MOZ,2080,905.3177878865777
ZAMB,MOZ,2090,590.3517190268708
ZAMB,MOZ,2100,496.98752726609786
ANIN,MRT,2005,18.32656991459372
ANIN,MRT,2010,19.344193893844103
ANIN,MRT,2015,17.514137399300775
ANIN,MRT,2020,16.23058784110269
ANIN,MRT,2025,15.905177565903028
ANIN,MRT,2030,14.855779587486303
ANIN,MRT,2035,12.436056256026676
ANIN,MRT,2040,11.061159120949284
ANIN,MRT,2045,9.763131575835095
ANIN,MRT,2050,9.072090769787547
ANIN,MRT,2060,7.980422425237248
ANIN,MRT,2070,7.007927216245678
ANIN,MRT,2080,6.575833651042721
ANIN,MRT,2090,6.696674881541042
ANIN,MRT,2100,11.538790468402482
ANWC,MRT,2005,13.236763912630241
ANWC,MRT,2010,13.45796254267981
ANWC,MRT,2015,19.511497481607194
ANWC,MRT,2020,19.186589446966003
ANWC,MRT,2025,20.495553175955923
ANWC,MRT,2030,23.695095986244954
ANWC,MRT,2035,27.271637188552226
ANWC,MRT,2040,26.885551279357234
ANWC,MRT,2045,28.472113659846887
ANWC,MRT,2050,29.416950328483416
ANWC,MRT,2060,28.56895306096384
ANWC,MRT,2070,25.855199399405503
ANWC,MRT,2080,23.043357567913176
ANWC,MRT,2090,23.732276174774338
ANWC,MRT,2100,35.2005142178309
SENE,MRT,2005,300.3620677253212
SENE,MRT,2010,303.73256047419824
SENE,MRT,2015,301.9681188396064
SENE,MRT,2020,278.0559796580633
SENE,MRT,2025,251.17521085125486
SENE,MRT,2030,222.94154984152368
SENE,MRT,2035,213.58830753365723
SENE,MRT,2040,210.41906366649383
SENE,MRT,2045,218.84132232151097
SENE,MRT,2050,231.7272179478594
SENE,MRT,2060,237.7552494313254
SENE,MRT,2070,225.51238976305666
SENE,MRT,2080,221.08833946573802
SENE,MRT,2090,238.9198198471312
SENE,MRT,2100,288.03300155379355
AECC,MWI,2005,303.5506249842883
AECC,MWI,2010,337.87555184859036
AECC,MWI,2015,358.0491435526635
AECC,MWI,2020,343.5380072536808
AECC,MWI,2025,343.12466385001267
AECC,MWI,2030,343.8719220547135
AECC,MWI,2035,347.49865376402073
AECC,MWI,2040,343.88723757108517
AECC,MWI,2045,336.8475231646097
AECC,MWI,2050,325.80429407461463
AECC,MWI,2060,294.35652226021864
AECC,MWI,2070,263.38223368096766
AECC,MWI,2080,249.7998697679041
AECC,MWI,2090,236.642122050323
AECC,MWI,2100,235.46687646570416
ZAMB,MWI,2005,2620.6625108006856
ZAMB,MWI,2010,2896.6572355450144
ZAMB,MWI,2015,3105.028759448162
ZAMB,MWI,2020,3011.8373715158955
ZAMB,MWI,2025,3082.7554056057543
ZAMB,MWI,2030,3230.646196637315
ZAMB,MWI,2035,3474.635447678618
ZAMB,MWI,2040,3684.0367707362775
ZAMB,MWI,2045,3872.299687266876
ZAMB,MWI,2050,4021.482933025504
ZAMB,MWI,2060,4143.846688887125
ZAMB,MWI,2070,4198.334675177452
ZAMB,MWI,2080,4264.199489918236
ZAMB,MWI,2090,4432.541618789713
ZAMB,MWI,2100,4696.774166793809
NBCO,MYS,2005,2668.732261779913
NBCO,MYS,2010,2861.447809236558
NBCO,MYS,2015,3354.2303316836374
NBCO,MYS,2020,3405.5097564344437
NBCO,MYS,2025,3549.422141618318
NBCO,MYS,2030,3546.699542846325
NBCO,MYS,2035,3566.0555763505713
NBCO,MYS,2040,3570.238498656907
NBCO,MYS,2045,3551.048237131938
NBCO,MYS,2050,3515.246982869251
NBCO,MYS,2060,3358.774670769359
NBCO,MYS,2070,3108.7436954696645
NBCO,MYS,2080,2966.4223339506375
NBCO,MYS,2090,2868.5830019930722
NBCO,MYS,2100,2787.810570286734
PMAL,MYS,2005,2757.532761664254
PMAL,MYS,2010,2877.7913493524034
PMAL,MYS,2015,3363.125324332165
PMAL,MYS,2020,3417.219506968869
PMAL,MYS,2025,3545.6584355502755
