scenario,region,type,*,year,value
SSP2_BaU_NoCC,CAN,Emi_CO2_AFO,Mt CO2/yr,2100,-27.99473893897867
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2005,-443.77701784695057
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2010,238.19363333497017
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2015,-156.40089610388122
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2020,274.6712155146031
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2025,-461.34096283280206
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2030,504.59412648064756
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2040,-520.9864229562432
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2050,-641.1446024210545
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2060,-693.3593154421354
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2070,-760.8009953240146
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2080,-784.643400497657
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2090,-306.2602945010128
SSP2_BaU_NoCC,CHN,Emi_CO2_AFO,Mt CO2/yr,2100,270.70923926994135
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2005,-71.37709455991906
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2010,20.872800769454372
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2015,40.98924229135454
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2020,68.68190170293852
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2025,74.43122570121022
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2030,141.18548381339502
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2040,38.18288607274475
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2050,-0.8777480395759767
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2060,-1.9028639528087083
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2070,-15.856007121838047
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2080,-24.509910837439566
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2090,-32.58131562969495
SSP2_BaU_NoCC,IND,Emi_CO2_AFO,Mt CO2/yr,2100,-35.005402485936315
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2005,-65.21253689130006
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2010,-64.19919760006412
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2015,-75.98199148537421
SSP2_BaU_NoCC,JPN,Emi_CO2_AFO,Mt CO2/yr,2020,194.07400823909677
