region,year,crop,value
BRA,2040,PDRIR,1050.3173543911043
BRA,2040,WHTIR,3.897711688960439
BRA,2040,GROIR,153.83928348042272
BRA,2040,OSDIR,206.85080439556722
BRA,2040,C_BIR,545.8586511005898
BRA,2040,OTH_AIR,304.16141761766806
BRA,2040,PDRRF,1952.2105310842344
BRA,2040,WHTRF,2132.0335579990615
BRA,2040,GRORF,18976.291040589447
BRA,2040,OSDRF,36555.09158251613
BRA,2040,C_BRF,10740.097919179298
BRA,2040,OTH_ARF,7208.47852131314
BRA,2040,CLDEGS,2692.0304483689497
BRA,2040,NRFABD,26.98850627838483
BRA,2040,NRGABD,11.551981739656547
BRA,2040,DEF,20083.75910732537
BRA,2040,DEG,13026.764258490653
BRA,2040,NRFABDCUM,297.0064403686759
BRA,2040,NRGABDCUM,167.89402483344688
BRA,2050,FRS,392182.09424936876
BRA,2050,GL,72348.20260293964
BRA,2050,CL,81922.91720323151
BRA,2050,CROP_FLW,9894.41127771795
BRA,2050,PAS,275220.89559276006
BRA,2050,SL,2769.0857308205796
BRA,2050,OL,33733.172928287066
BRA,2050,PRMFRS,376499.00620745873
BRA,2050,SECFRS,15683.088041909134
BRA,2050,MNGFRS,98319.07228322506
BRA,2050,UMNFRS,293863.02196614246
BRA,2050,NRMFRS,392182.1118226848
BRA,2050,AGOFRS,36993.48168125443
BRA,2050,PRMGL,71299.49808311326
BRA,2050,SECGL,1048.7045198264807
BRA,2050,MNGPAS,149344.4086303037
BRA,2050,RAN,125876.48696245678
BRA,2050,PDRIR,1049.9387294416724
BRA,2050,WHTIR,3.85760949800682
BRA,2050,GROIR,152.91650581600834
BRA,2050,OSDIR,206.2470676518833
BRA,2050,C_BIR,541.5943426097673
BRA,2050,OTH_AIR,275.3553467608886
BRA,2050,PDRRF,2421.137034961857
BRA,2050,WHTRF,2049.040718564613
BRA,2050,GRORF,19320.43925571102
BRA,2050,OSDRF,37988.46202008727
BRA,2050,C_BRF,11300.472490174743
BRA,2050,OTH_ARF,6613.4617548516
BRA,2050,CLDEGS,2723.5143020904557
BRA,2050,NRFABD,1329.8486485844378
BRA,2050,NRGABD,798.0159292868036
BRA,2050,DEF,1640.8897453261557
BRA,2050,DEG,265.0148857315171
BRA,2050,NRFABDCUM,370.94857840122154
BRA,2050,NRGABDCUM,249.99634768451108
BRA,2060,FRS,414950.03034937824
BRA,2060,GL,86586.25540434937
BRA,2060,CL,80478.46837407476
BRA,2060,CROP_FLW,11655.196242668664
BRA,2060,PAS,237637.62476542155
BRA,2060,SL,3030.029547805378
BRA,2060,OL,33733.174554397985
BRA,2060,PRMFRS,376065.4426859066
BRA,2060,SECFRS,38884.587663471866
BRA,2060,MNGFRS,121485.54861438849
BRA,2060,UMNFRS,293464.4817349902
BRA,2060,NRMFRS,414950.0325080104
BRA,2060,AGOFRS,36353.19764135724
BRA,2060,PRMGL,71299.48470394181
BRA,2060,SECGL,15286.770700407656
BRA,2060,MNGPAS,144608.78032152465
BRA,2060,RAN,93028.84444389648
BRA,2060,PDRIR,1049.9387294416724
BRA,2060,WHTIR,3.85760949800682
BRA,2060,GROIR,151.15986165605074
BRA,2060,OSDIR,205.7436968876478
BRA,2060,C_BIR,541.5943426097673
BRA,2060,OTH_AIR,248.10473085280776
BRA,2060,PDRRF,2550.0579812269175
BRA,2060,WHTRF,2052.0970554674027
BRA,2060,GRORF,18569.961633486815
BRA,2060,OSDRF,37381.10726425271
BRA,2060,C_BRF,11738.358806481321
BRA,2060,OTH_ARF,5986.48649991953
BRA,2060,CLDEGS,2686.24050573861
BRA,2060,NRFABD,23201.886186947217
BRA,2060,NRGABD,14238.075032086872
BRA,2060,DEF,433.94792830403463
BRA,2060,DEG,0.024841879859703576
BRA,2060,NRFABDCUM,1664.7540941553896
BRA,2060,NRGABDCUM,803.0041340617452
BRA,2070,FRS,446401.221538913
BRA,2070,GL,105753.50572440693
BRA,2070,CL,76699.15008848887
BRA,2070,CROP_FLW,13923.623879710305
BRA,2070,PAS,188246.2571518621
BRA,2070,SL,3313.8464533353595
BRA,2070,OL,33733.174232646306
BRA,2070,PRMFRS,375810.2031561216
BRA,2070,SECFRS,70591.01838279207
BRA,2070,MNGFRS,153173.36451644273
BRA,2070,UMNFRS,293227.8570224711
BRA,2070,NRMFRS,446401.22048200184
BRA,2070,AGOFRS,35368.6487762933
BRA,2070,PRMGL,71299.46644804023
BRA,2070,SECGL,34454.03927636657
BRA,2070,MNGPAS,133663.8339512171
BRA,2070,RAN,54582.42320064483
BRA,2070,PDRIR,1048.7115890518269
BRA,2070,WHTIR,3.85760949800682
BRA,2070,GROIR,115.51194702630029
BRA,2070,OSDIR,203.05079117278558
BRA,2070,C_BIR,541.5943090683991
