basin,year,type,Value
AFG_AMDA,2070,NRFABDCUM,101.11527774478849
AFG_AMDA,2070,NRGABDCUM,635.1296778181578
AFG_AMDA,2080,FRS,1043.2183135079563
AFG_AMDA,2080,GL,4999.028006365236
AFG_AMDA,2080,CL,2724.1288523467206
AFG_AMDA,2080,CROP_FLW,2306.2111215536656
AFG_AMDA,2080,PAS,3222.114697196763
AFG_AMDA,2080,SL,37.82355953038612
AFG_AMDA,2080,OL,169.25471170108236
AFG_AMDA,2080,PRMFRS,323.7213526800988
AFG_AMDA,2080,SECFRS,719.4969608278574
AFG_AMDA,2080,MNGFRS,668.27401913273
AFG_AMDA,2080,UMNFRS,374.94429437522615
AFG_AMDA,2080,NRMFRS,1043.2184615535225
AFG_AMDA,2080,AGOFRS,88.4133752333312
AFG_AMDA,2080,PRMGL,2866.6670085746
AFG_AMDA,2080,SECGL,2132.360997790637
AFG_AMDA,2080,MNGPAS,2182.5163103892064
AFG_AMDA,2080,RAN,1039.5983868075568
AFG_AMDA,2080,PDRIR,39.977650517642346
AFG_AMDA,2080,WHTIR,335.6578356707621
AFG_AMDA,2080,GROIR,137.73471099933482
AFG_AMDA,2080,OSDIR,16.477322733168883
AFG_AMDA,2080,OTH_AIR,41.22097241648675
AFG_AMDA,2080,PDRRF,70.56457851690737
AFG_AMDA,2080,WHTRF,1489.4935896817235
AFG_AMDA,2080,GRORF,188.44070855962667
AFG_AMDA,2080,OSDRF,17.986605262304604
AFG_AMDA,2080,OTH_ARF,386.5752803731506
AFG_AMDA,2080,CLDEGS,1192.5526311363953
AFG_AMDA,2080,NRFABD,334.07306660900036
AFG_AMDA,2080,NRGABD,940.2410928909346
AFG_AMDA,2080,DEG,208.4888346996937
AFG_AMDA,2080,NRFABDCUM,406.1413127938228
AFG_AMDA,2080,NRGABDCUM,1375.4365890260212
AFG_AMDA,2090,FRS,1301.6599719820883
AFG_AMDA,2090,GL,5760.099611580137
AFG_AMDA,2090,CL,2878.9052267719594
AFG_AMDA,2090,CROP_FLW,2575.0388330490273
AFG_AMDA,2090,PAS,1773.4644527594762
AFG_AMDA,2090,SL,43.35603865027826
AFG_AMDA,2090,OL,169.25516183878494
AFG_AMDA,2090,PRMFRS,323.72140270611163
