scenario,region,type,year,value
SSP2_500C_NoCC,BRA,PDR,2020,2185.9771687516945
SSP2_500C_NoCC,BRA,PDR,2025,2602.734999851814
SSP2_500C_NoCC,BRA,PDR,2030,3212.466932296094
SSP2_500C_NoCC,BRA,PDR,2035,3917.002598595865
SSP2_500C_NoCC,BRA,PDR,2040,4670.383564279638
SSP2_500C_NoCC,BRA,PDR,2045,5596.242346465471
SSP2_500C_NoCC,BRA,PDR,2050,6397.390482787568
SSP2_500C_NoCC,BRA,PDR,2060,3388.3778931301513
SSP2_500C_NoCC,BRA,PDR,2070,2798.945783809942
SSP2_500C_NoCC,BRA,PDR,2080,2726.70206893968
SSP2_500C_NoCC,BRA,PDR,2090,2613.760978741753
SSP2_500C_NoCC,BRA,PDR,2100,2509.198544725155
SSP2_500C_NoCC,BRA,SL,2005,2413.4712622791376
SSP2_500C_NoCC,BRA,SL,2010,2776.3466368082436
SSP2_500C_NoCC,BRA,SL,2015,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2020,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2025,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2030,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2035,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2040,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2045,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2050,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2060,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2070,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2080,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2090,3085.2371873463
SSP2_500C_NoCC,BRA,SL,2100,3085.2371873463
SSP2_500C_NoCC,CAN,wht,2005,16222.800431001455
SSP2_500C_NoCC,CAN,wht,2010,13323.264507079977
SSP2_500C_NoCC,CAN,wht,2015,14131.876228915413
SSP2_500C_NoCC,CAN,wht,2020,13320.286663437322
SSP2_500C_NoCC,CAN,wht,2025,12874.538435139586
SSP2_500C_NoCC,CAN,wht,2030,12836.647803108504
SSP2_500C_NoCC,CAN,wht,2035,12335.409911504372
SSP2_500C_NoCC,CAN,wht,2040,11850.41533491241
SSP2_500C_NoCC,CAN,wht,2045,11392.415589728076
SSP2_500C_NoCC,CAN,wht,2050,10679.715684649755
SSP2_500C_NoCC,CAN,wht,2060,8040.319964485095
SSP2_500C_NoCC,CAN,wht,2070,5069.559340956541
SSP2_500C_NoCC,CAN,wht,2080,3777.010321266489
SSP2_500C_NoCC,CAN,wht,2090,2999.3569073891085
SSP2_500C_NoCC,CAN,wht,2100,2472.9009500110747
SSP2_500C_NoCC,CAN,frs,2005,554934.0771501662
SSP2_500C_NoCC,CAN,frs,2010,556311.1800144255
SSP2_500C_NoCC,CAN,frs,2015,556540.3005147455
SSP2_500C_NoCC,CAN,frs,2020,556279.1640331909
SSP2_500C_NoCC,CAN,frs,2025,555692.0642623077
SSP2_500C_NoCC,CAN,frs,2030,559267.0199090985
SSP2_500C_NoCC,CAN,frs,2035,560007.8050547291
SSP2_500C_NoCC,CAN,frs,2040,560303.922212621
SSP2_500C_NoCC,CAN,frs,2045,551691.8166679216
SSP2_500C_NoCC,CAN,frs,2050,546561.7770028696
SSP2_500C_NoCC,CAN,frs,2060,549452.3243443213
SSP2_500C_NoCC,CAN,frs,2070,551215.3172382705
SSP2_500C_NoCC,CAN,frs,2080,549656.8610997043
SSP2_500C_NoCC,CAN,frs,2090,547233.1648969946
SSP2_500C_NoCC,CAN,frs,2100,546877.9571571801
SSP2_500C_NoCC,CAN,OSD,2005,12657.953019069622
SSP2_500C_NoCC,CAN,OSD,2010,14397.389113937388
SSP2_500C_NoCC,CAN,OSD,2015,16909.958786202515
SSP2_500C_NoCC,CAN,OSD,2020,17045.89198630397
SSP2_500C_NoCC,CAN,OSD,2025,16658.31511796802
SSP2_500C_NoCC,CAN,OSD,2030,16303.68827735499
SSP2_500C_NoCC,CAN,OSD,2035,16006.900525591285
SSP2_500C_NoCC,CAN,OSD,2040,15942.519003698177
SSP2_500C_NoCC,CAN,OSD,2045,16029.105130020356
SSP2_500C_NoCC,CAN,OSD,2050,16355.369034300838
SSP2_500C_NoCC,CAN,OSD,2060,22082.02040292186
SSP2_500C_NoCC,CAN,OSD,2070,24595.335678071224
SSP2_500C_NoCC,CAN,OSD,2080,28880.920234236677
SSP2_500C_NoCC,CAN,OSD,2090,33206.34713780348
SSP2_500C_NoCC,CAN,OSD,2100,35037.654018395544
SSP2_500C_NoCC,CAN,AFR,2025,517.8175845512478
SSP2_500C_NoCC,CAN,AFR,2030,1035.6351691024956
SSP2_500C_NoCC,CAN,AFR,2035,3275.2380719806124
SSP2_500C_NoCC,CAN,AFR,2040,5514.840974858729
SSP2_500C_NoCC,CAN,AFR,2045,17289.829522810833
SSP2_500C_NoCC,CAN,AFR,2050,29064.81807076294
SSP2_500C_NoCC,CAN,AFR,2060,26776.000959480465
SSP2_500C_NoCC,CAN,AFR,2070,26876.604308608792
SSP2_500C_NoCC,CAN,AFR,2080,26897.972660494714
SSP2_500C_NoCC,CAN,AFR,2090,27093.929541232697
SSP2_500C_NoCC,CAN,AFR,2100,27064.07381824069
SSP2_500C_NoCC,CAN,BIO,2025,1079.6871323805387
SSP2_500C_NoCC,CAN,BIO,2030,1435.2807537397869
SSP2_500C_NoCC,CAN,BIO,2035,1883.3287011626082
SSP2_500C_NoCC,CAN,BIO,2040,1971.3330569065743
SSP2_500C_NoCC,CAN,BIO,2045,1892.7883239042726
SSP2_500C_NoCC,CAN,BIO,2050,2034.9485578766034
SSP2_500C_NoCC,CAN,BIO,2060,5034.330374272273
SSP2_500C_NoCC,CAN,BIO,2070,5026.96080112254
SSP2_500C_NoCC,CAN,BIO,2080,4812.459574713484
SSP2_500C_NoCC,CAN,BIO,2090,4505.053260034092
SSP2_500C_NoCC,CAN,BIO,2100,4123.666205940835
SSP2_500C_NoCC,CAN,C_B,2005,23.124276817386903
SSP2_500C_NoCC,CAN,C_B,2010,18.153318807690503
SSP2_500C_NoCC,CAN,C_B,2015,10.796498981550101
SSP2_500C_NoCC,CAN,C_B,2020,10.979583491167551
SSP2_500C_NoCC,CAN,C_B,2025,10.597747247352151
SSP2_500C_NoCC,CAN,C_B,2030,10.246720685203572
SSP2_500C_NoCC,CAN,C_B,2035,9.9057551583
SSP2_500C_NoCC,CAN,C_B,2040,9.577030830773715
SSP2_500C_NoCC,CAN,C_B,2045,9.285787842514193
SSP2_500C_NoCC,CAN,C_B,2050,9.162648079599963
