scenario,basin,type,year,value
SSP2_500C_NoCC,AFG_CSEC,AFR,2060,5485.212438716332
SSP2_500C_NoCC,AFG_CSEC,AFR,2070,5484.127072223663
SSP2_500C_NoCC,AFG_CSEC,AFR,2080,5482.968354647486
SSP2_500C_NoCC,AFG_CSEC,AFR,2090,5481.581494885173
SSP2_500C_NoCC,AFG_CSEC,AFR,2100,5480.244796840306
SSP2_500C_NoCC,AFG_CSEC,BIO,2025,24.949600247255045
SSP2_500C_NoCC,AFG_CSEC,BIO,2030,49.58064300306873
SSP2_500C_NoCC,AFG_CSEC,BIO,2035,95.78520583872549
SSP2_500C_NoCC,AFG_CSEC,BIO,2040,155.72670980595962
SSP2_500C_NoCC,AFG_CSEC,BIO,2045,180.67468648458936
SSP2_500C_NoCC,AFG_CSEC,BIO,2050,224.3145896942697
SSP2_500C_NoCC,AFG_CSEC,BIO,2060,736.7607666499201
SSP2_500C_NoCC,AFG_CSEC,BIO,2070,699.1280327462692
SSP2_500C_NoCC,AFG_CSEC,BIO,2080,742.7840282073339
SSP2_500C_NoCC,AFG_CSEC,BIO,2090,735.7154856115751
SSP2_500C_NoCC,AFG_CSEC,BIO,2100,724.5982969013759
SSP2_500C_NoCC,AFG_CSEC,C_B,2005,1.9537144970423657
SSP2_500C_NoCC,AFG_CSEC,C_B,2010,2.9007007187223306
SSP2_500C_NoCC,AFG_CSEC,C_B,2015,2.540224963001792
SSP2_500C_NoCC,AFG_CSEC,C_B,2020,2.5013192176686005
SSP2_500C_NoCC,AFG_CSEC,C_B,2025,2.1223662456830654
SSP2_500C_NoCC,AFG_CSEC,C_B,2030,2.719052319428524
SSP2_500C_NoCC,AFG_CSEC,C_B,2035,2.8469839767769796
SSP2_500C_NoCC,AFG_CSEC,C_B,2040,2.5890760152406744
SSP2_500C_NoCC,AFG_CSEC,C_B,2045,2.3571512856688406
SSP2_500C_NoCC,AFG_CSEC,C_B,2050,2.0220613956720093
SSP2_500C_NoCC,AFG_CSEC,C_B,2060,1.4118983032339558
SSP2_500C_NoCC,AFG_CSEC,C_B,2070,1.5450451223079866
SSP2_500C_NoCC,AFG_CSEC,C_B,2080,1.512354107255408
SSP2_500C_NoCC,AFG_CSEC,C_B,2090,1.6846994766294054
SSP2_500C_NoCC,AFG_CSEC,C_B,2100,1.7546429130219716
SSP2_500C_NoCC,AFG_CSEC,CL,2005,1467.9727695081963
SSP2_500C_NoCC,AFG_CSEC,CL,2010,1475.0094872966274
SSP2_500C_NoCC,AFG_CSEC,CL,2015,1478.5076161557404
SSP2_500C_NoCC,AFG_CSEC,CL,2020,1401.3321985993748
SSP2_500C_NoCC,AFG_CSEC,CL,2025,1695.7182323883987
SSP2_500C_NoCC,AFG_CSEC,CL,2030,1853.7421401901486
SSP2_500C_NoCC,AFG_CSEC,CL,2035,1837.0980218475959
SSP2_500C_NoCC,AFG_CSEC,CL,2040,1744.3063946764853
SSP2_500C_NoCC,AFG_CSEC,CL,2045,1622.6946042462603
SSP2_500C_NoCC,AFG_CSEC,CL,2050,1474.3987817546847
SSP2_500C_NoCC,AFG_CSEC,CL,2060,1796.4335080155279
SSP2_500C_NoCC,AFG_CSEC,CL,2070,1781.1380574692278
SSP2_500C_NoCC,AFG_CSEC,CL,2080,1897.3468426719928
